Label,field1,GEOID,STATE,PLACENS,BLKGRP,BLOCK,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,GEOID10,field1:1,GEOID10:1,BLOCKCE10,INTPTLAT10,INTPTLON10
7,941,4.82E+14,48,2410796,1,1000,15,11,4,3,0,3,0,0,0,0,1,20,16,4,3,0,3,0,0,0,0,1,4.82E+14,203870,4.82E+14,1000,29.7893967,-95.351583
7,942,4.82E+14,48,2410796,1,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E+14,896293,4.82E+14,1001,29.7893761,-95.3525576
7,943,4.82E+14,48,2410796,1,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E+14,301734,4.82E+14,1002,29.7893668,-95.3535353
7,944,4.82E+14,48,2410796,1,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E+14,641840,4.82E+14,1003,29.7893552,-95.3545176
7,945,4.82E+14,48,2410796,1,1004,10,2,8,7,5,2,0,0,0,0,1,14,6,8,7,5,2,0,0,0,0,1,4.82E+14,176715,4.82E+14,1004,29.7893452,-95.3555808
7,946,4.82E+14,48,2410796,1,1005,18,11,7,6,2,4,0,0,0,0,1,19,11,8,7,3,4,0,0,0,0,1,4.82E+14,431684,4.82E+14,1005,29.7884695,-95.3555697
7,947,4.82E+14,48,2410796,1,1006,72,72,0,0,0,0,0,0,0,0,0,115,115,0,0,0,0,0,0,0,0,0,4.82E+14,245967,4.82E+14,1006,29.7884867,-95.3544961
7,948,4.82E+14,48,2410796,1,1007,2,2,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,4.82E+14,816180,4.82E+14,1007,29.7885067,-95.3535115
7,949,4.82E+14,48,2410796,1,1008,24,8,16,16,4,12,0,0,0,0,0,30,14,16,16,4,12,0,0,0,0,0,4.82E+14,802089,4.82E+14,1008,29.7885189,-95.3525389
7,950,4.82E+14,48,2410796,1,1009,37,22,15,15,5,10,0,0,0,0,0,47,31,16,16,5,11,0,0,0,0,0,4.82E+14,559473,4.82E+14,1009,29.7885378,-95.3515699
7,951,4.82E+14,48,2410796,1,1010,49,47,2,2,0,1,0,0,0,1,0,58,56,2,2,0,1,0,0,0,1,0,4.82E+14,345455,4.82E+14,1010,29.7876823,-95.3515487
7,952,4.82E+14,48,2410796,1,1011,47,47,0,0,0,0,0,0,0,0,0,63,61,2,2,0,2,0,0,0,0,0,4.82E+14,854274,4.82E+14,1011,29.7876643,-95.3525222
7,953,4.82E+14,48,2410796,1,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E+14,582760,4.82E+14,1012,29.7876501,-95.3534943
7,954,4.82E+14,48,2410796,1,1013,24,21,3,3,3,0,0,0,0,0,0,30,27,3,3,3,0,0,0,0,0,0,4.82E+14,433245,4.82E+14,1013,29.7876303,-95.3544739
7,955,4.82E+14,48,2410796,1,1014,62,59,3,1,1,0,0,0,0,0,2,83,76,7,3,1,2,0,0,0,0,4,4.82E+14,460174,4.82E+14,1014,29.7876058,-95.3555572
7,956,4.82E+14,48,2410796,1,1015,14,12,2,2,1,0,0,1,0,0,0,25,22,3,3,2,0,0,1,0,0,0,4.82E+14,447143,4.82E+14,1015,29.78647,-95.3555387
7,957,4.82E+14,48,2410796,1,1016,26,24,2,1,1,0,0,0,0,0,1,28,25,3,2,1,1,0,0,0,0,1,4.82E+14,872946,4.82E+14,1016,29.7867787,-95.354453
7,958,4.82E+14,48,2410796,1,1017,24,17,7,6,0,6,0,0,0,0,1,24,17,7,6,0,6,0,0,0,0,1,4.82E+14,460173,4.82E+14,1017,29.7867934,-95.3534804
7,959,4.82E+14,48,2410796,1,1018,32,22,10,10,8,0,0,2,0,0,0,35,24,11,11,8,0,0,2,0,1,0,4.82E+14,624801,4.82E+14,1018,29.7868092,-95.3525072
7,960,4.82E+14,48,2410796,1,1019,27,25,2,2,0,2,0,0,0,0,0,44,37,7,6,4,2,0,0,0,0,1,4.82E+14,802088,4.82E+14,1019,29.786832,-95.3515237
7,961,4.82E+14,48,2410796,1,1020,18,13,5,5,0,5,0,0,0,0,0,21,16,5,5,0,5,0,0,0,0,0,4.82E+14,306037,4.82E+14,1020,29.7859836,-95.3515023
7,962,4.82E+14,48,2410796,1,1021,21,20,1,1,0,1,0,0,0,0,0,32,31,1,1,0,1,0,0,0,0,0,4.82E+14,642850,4.82E+14,1021,29.785964,-95.3524877
7,963,4.82E+14,48,2410796,1,1022,62,60,2,2,2,0,0,0,0,0,0,71,69,2,2,2,0,0,0,0,0,0,4.82E+14,745002,4.82E+14,1022,29.7857965,-95.3534608
7,964,4.82E+14,48,2410796,1,1023,19,17,2,2,2,0,0,0,0,0,0,23,21,2,2,2,0,0,0,0,0,0,4.82E+14,351341,4.82E+14,1023,29.7855683,-95.3549143
7,965,4.82E+14,48,2410796,1,1024,9,9,0,0,0,0,0,0,0,0,0,21,20,1,0,0,0,0,0,0,0,1,4.82E+14,802087,4.82E+14,1024,29.7851552,-95.3513893
7,966,4.82E+14,48,2410796,1,1025,15,14,1,1,0,1,0,0,0,0,0,20,19,1,1,0,1,0,0,0,0,0,4.82E+14,699632,4.82E+14,1025,29.7851139,-95.3524687
7,967,4.82E+14,48,2410796,1,1026,29,25,4,4,4,0,0,0,0,0,0,29,25,4,4,4,0,0,0,0,0,0,4.82E+14,698497,4.82E+14,1026,29.7847495,-95.3534809
7,968,4.82E+14,48,2410796,1,1027,51,47,4,4,4,0,0,0,0,0,0,61,56,5,5,5,0,0,0,0,0,0,4.82E+14,881269,4.82E+14,1027,29.7847425,-95.3542971
7,969,4.82E+14,48,2410796,1,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E+14,336038,4.82E+14,1028,29.7846242,-95.3554138
7,970,4.82E+14,48,2410796,1,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E+14,745001,4.82E+14,1029,29.7845157,-95.3518919
7,971,4.82E+14,48,2410796,1,1030,44,29,15,15,10,2,0,3,0,0,0,62,47,15,15,10,2,0,3,0,0,0,4.82E+14,730963,4.82E+14,1030,29.7845149,-95.3526523
7,1017,4.82E+14,48,2410796,2,2000,38,30,8,8,6,2,0,0,0,0,0,49,40,9,9,7,2,0,0,0,0,0,4.82E+14,788043,4.82E+14,2000,29.7838382,-95.3518389
7,1018,4.82E+14,48,2410796,2,2001,38,34,4,3,3,0,0,0,0,0,1,51,43,8,7,4,0,0,0,0,3,1,4.82E+14,899398,4.82E+14,2001,29.783836,-95.3526463
7,1019,4.82E+14,48,2410796,2,2002,30,23,7,7,7,0,0,0,0,0,0,32,25,7,7,7,0,0,0,0,0,0,4.82E+14,784390,4.82E+14,2002,29.7838271,-95.3534671
7,1020,4.82E+14,48,2410796,2,2003,22,15,7,6,6,0,0,0,0,0,1,27,20,7,6,6,0,0,0,0,0,1,4.82E+14,107114,4.82E+14,2003,29.7838219,-95.3542865
7,1021,4.82E+14,48,2410796,2,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E+14,867784,4.82E+14,2004,29.7838202,-95.3554003
7,1022,4.82E+14,48,2410796,2,2005,443,44,399,376,14,357,0,2,0,3,23,847,63,784,742,20,712,0,2,0,8,42,4.82E+14,156450,4.82E+14,2005,29.7837952,-95.3578385
7,1023,4.82E+14,48,2410796,2,2006,204,156,48,48,46,0,2,0,0,0,0,227,179,48,48,46,0,2,0,0,0,0,4.82E+14,655446,4.82E+14,2006,29.7830156,-95.3599408
7,1024,4.82E+14,48,2410796,2,2007,6,5,1,1,0,1,0,0,0,0,0,11,10,1,1,0,1,0,0,0,0,0,4.82E+14,151142,4.82E+14,2007,29.782621,-95.3606397
7,1025,4.82E+14,48,2410796,2,2008,41,39,2,2,2,0,0,0,0,0,0,48,46,2,2,2,0,0,0,0,0,0,4.82E+14,167165,4.82E+14,2008,29.7823452,-95.3614048
7,1026,4.82E+14,48,2410796,2,2009,21,13,8,8,6,2,0,0,0,0,0,29,20,9,9,6,2,0,0,0,1,0,4.82E+14,531101,4.82E+14,2009,29.7820704,-95.3621713
7,1027,4.82E+14,48,2410796,2,2010,10,10,0,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,4.82E+14,570717,4.82E+14,2010,29.7817945,-95.3629504
7,1028,4.82E+14,48,2410796,2,2011,8,5,3,3,1,2,0,0,0,0,0,13,8,5,4,1,3,0,0,0,0,1,4.82E+14,94260,4.82E+14,2011,29.781509,-95.3637454
7,1029,4.82E+14,48,2410796,2,2012,132,116,16,15,15,0,0,0,0,0,1,143,127,16,15,15,0,0,0,0,0,1,4.82E+14,135571,4.82E+14,2012,29.7810626,-95.364483
7,1030,4.82E+14,48,2410796,2,2013,47,37,10,8,6,2,0,0,0,0,2,52,41,11,8,6,2,0,0,0,0,3,4.82E+14,659404,4.82E+14,2013,29.7808245,-95.3651322
7,1031,4.82E+14,48,2410796,2,2014,29,27,2,2,1,0,0,0,0,1,0,35,32,3,2,1,0,0,0,0,1,1,4.82E+14,278622,4.82E+14,2014,29.7817111,-95.365551
7,1032,4.82E+14,48,2410796,2,2015,19,16,3,3,3,0,0,0,0,0,0,27,24,3,3,3,0,0,0,0,0,0,4.82E+14,334207,4.82E+14,2015,29.7814917,-95.36615
7,1033,4.82E+14,48,2410796,2,2016,36,36,0,0,0,0,0,0,0,0,0,44,44,0,0,0,0,0,0,0,0,0,4.82E+14,310317,4.82E+14,2016,29.7812375,-95.3668445
7,1034,4.82E+14,48,2410796,2,2017,28,22,6,6,6,0,0,0,0,0,0,38,32,6,6,6,0,0,0,0,0,0,4.82E+14,555817,4.82E+14,2017,29.7809669,-95.3675048
7,1035,4.82E+14,48,2410796,2,2018,136,132,4,4,4,0,0,0,0,0,0,171,167,4,4,4,0,0,0,0,0,0,4.82E+14,824357,4.82E+14,2018,29.7800819,-95.3671214
7,1036,4.82E+14,48,2410796,2,2019,34,34,0,0,0,0,0,0,0,0,0,47,47,0,0,0,0,0,0,0,0,0,4.82E+14,702358,4.82E+14,2019,29.7803572,-95.3664213
7,1037,4.82E+14,48,2410796,2,2020,32,25,7,7,0,4,0,3,0,0,0,36,29,7,7,0,4,0,3,0,0,0,4.82E+14,515206,4.82E+14,2020,29.7806135,-95.3657268
7,1044,4.82E+14,48,2410796,1,1000,69,36,33,28,25,3,0,0,0,0,5,96,56,40,35,31,3,1,0,0,0,5,4.82E+14,213789,4.82E+14,1000,29.7980375,-95.3584436
7,1045,4.82E+14,48,2410796,1,1001,25,14,11,11,10,0,0,0,1,0,0,35,23,12,11,10,0,0,0,1,0,1,4.82E+14,582762,4.82E+14,1001,29.7994386,-95.3583085
7,1046,4.82E+14,48,2410796,1,1002,33,11,22,22,19,0,0,0,0,3,0,44,18,26,26,23,0,0,0,0,3,0,4.82E+14,545323,4.82E+14,1002,29.7991269,-95.360967
7,1047,4.82E+14,48,2410796,1,1003,485,399,86,79,34,35,0,10,0,0,7,728,611,117,110,40,59,0,11,0,0,7,4.82E+14,174905,4.82E+14,1003,29.7991217,-95.3615161
7,1048,4.82E+14,48,2410796,1,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E+14,383872,4.82E+14,1004,29.7991117,-95.3624548
7,1049,4.82E+14,48,2410796,1,1005,14,7,7,7,7,0,0,0,0,0,0,17,9,8,8,7,1,0,0,0,0,0,4.82E+14,340075,4.82E+14,1005,29.7990994,-95.3633748
7,1050,4.82E+14,48,2410796,1,1006,31,28,3,2,1,0,0,1,0,0,1,44,35,9,4,2,0,1,1,0,0,5,4.82E+14,359506,4.82E+14,1006,29.7990842,-95.3642921
7,1051,4.82E+14,48,2410796,1,1007,40,37,3,3,0,1,0,2,0,0,0,54,51,3,3,0,1,0,2,0,0,0,4.82E+14,885439,4.82E+14,1007,29.7990676,-95.3652162
7,1052,4.82E+14,48,2410796,1,1008,51,50,1,1,0,0,0,1,0,0,0,58,57,1,1,0,0,0,1,0,0,0,4.82E+14,386543,4.82E+14,1008,29.7990589,-95.3661413
7,1053,4.82E+14,48,2410796,1,1009,65,61,4,3,1,2,0,0,0,0,1,76,72,4,3,1,2,0,0,0,0,1,4.82E+14,253470,4.82E+14,1009,29.7993947,-95.3672701
7,1054,4.82E+14,48,2410796,1,1010,59,45,14,14,14,0,0,0,0,0,0,74,58,16,14,14,0,0,0,0,0,2,4.82E+14,474359,4.82E+14,1010,29.7985463,-95.3672636
7,1055,4.82E+14,48,2410796,1,1011,17,12,5,5,3,0,0,2,0,0,0,28,23,5,5,3,0,0,2,0,0,0,4.82E+14,788048,4.82E+14,1011,29.7975842,-95.3672534
7,1056,4.82E+14,48,2410796,1,1012,16,16,0,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,0,0,4.82E+14,144913,4.82E+14,1012,29.7975897,-95.3661252
7,1057,4.82E+14,48,2410796,1,1013,34,27,7,6,6,0,0,0,0,0,1,47,34,13,9,6,3,0,0,0,0,4,4.82E+14,119464,4.82E+14,1013,29.7973743,-95.3651959
7,1058,4.82E+14,48,2410796,1,1014,51,45,6,6,4,2,0,0,0,0,0,66,56,10,9,7,2,0,0,0,0,1,4.82E+14,698847,4.82E+14,1014,29.7973799,-95.3642721
7,1059,4.82E+14,48,2410796,1,1015,37,36,1,1,0,1,0,0,0,0,0,44,42,2,1,0,1,0,0,0,0,1,4.82E+14,379232,4.82E+14,1015,29.7973967,-95.3633515
7,1060,4.82E+14,48,2410796,1,1016,38,34,4,4,3,1,0,0,0,0,0,43,37,6,6,5,1,0,0,0,0,0,4.82E+14,193319,4.82E+14,1016,29.7974092,-95.3624307
7,1061,4.82E+14,48,2410796,1,1017,39,31,8,7,7,0,0,0,0,0,1,51,42,9,7,7,0,0,0,0,0,2,4.82E+14,193061,4.82E+14,1017,29.7974208,-95.3614916
7,1062,4.82E+14,48,2410796,1,1018,20,12,8,7,7,0,0,0,0,0,1,24,13,11,10,10,0,0,0,0,0,1,4.82E+14,887266,4.82E+14,1018,29.797432,-95.3609428
7,1063,4.82E+14,48,2410796,1,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E+14,343473,4.82E+14,1019,29.7986228,-95.3599315
7,1064,4.82E+14,48,2410796,1,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82E+14,872951,4.82E+14,1020,29.7957163,-95.3604669
7,1065,4.82E+14,48,2410796,1,1021,39,27,12,9,2,3,0,0,0,4,3,43,31,12,9,2,3,0,0,0,4,3,4.82E+14,285769,4.82E+14,1021,29.7957292,-95.3596987
7,1066,4.82E+14,48,2410796,1,1022,91,88,3,0,0,0,0,0,0,0,3,105,101,4,0,0,0,0,0,0,0,4,4.82E+14,830417,4.82E+14,1022,29.7956357,-95.3582428
7,1067,4.82E+14,48,2410796,1,1023,1,0,1,1,0,1,0,0,0,0,0,4,3,1,1,0,1,0,0,0,0,0,4.82E+14,148677,4.82E+14,1023,29.7965137,-95.3578775
7,1068,4.82E+14,48,2410796,1,1024,35,28,7,7,1,5,0,1,0,0,0,41,32,9,9,2,6,0,1,0,0,0,4.82E+14,313899,4.82E+14,1024,29.7957013,-95.362403
7,1069,4.82E+14,48,2410796,1,1025,11,10,1,1,0,0,0,0,1,0,0,13,12,1,1,0,0,0,0,1,0,0,4.82E+14,816184,4.82E+14,1025,29.7957788,-95.3633171
7,1070,4.82E+14,48,2410796,1,1026,42,27,15,12,12,0,0,0,0,0,3,59,44,15,12,12,0,0,0,0,0,3,4.82E+14,783227,4.82E+14,1026,29.7962076,-95.3642158
7,1071,4.82E+14,48,2410796,1,1027,15,12,3,3,3,0,0,0,0,0,0,18,14,4,4,4,0,0,0,0,0,0,4.82E+14,545322,4.82E+14,1027,29.7958955,-95.3648245
7,1072,4.82E+14,48,2410796,1,1028,53,38,15,14,7,7,0,0,0,0,1,60,43,17,14,7,7,0,0,0,0,3,4.82E+14,688093,4.82E+14,1028,29.7964752,-95.3664558
7,1073,4.82E+14,48,2410796,1,1029,87,74,13,13,4,9,0,0,0,0,0,94,81,13,13,4,9,0,0,0,0,0,4.82E+14,816183,4.82E+14,1029,29.7952785,-95.3651677
7,1074,4.82E+14,48,2410796,1,1030,47,42,5,3,3,0,0,0,0,0,2,55,50,5,3,3,0,0,0,0,0,2,4.82E+14,262347,4.82E+14,1030,29.7940666,-95.3636219
7,1075,4.82E+14,48,2410796,1,1031,54,49,5,5,3,2,0,0,0,0,0,71,66,5,5,3,2,0,0,0,0,0,4.82E+14,238821,4.82E+14,1031,29.7948202,-95.3635206
